날짜,고객사 ID,고객사명,고객사 그룹,제휴점 ID,제휴점명,제휴점 그룹,제휴점 유형,정산단위,수수료율,혼자결제,함께결제,정상거래,취소거래,관리자입력,거래 통계 합계,주문 수,고유 사용자 수,판매가격,식대/복지 포인트,포인트 단위,대장포인트,대장쿠폰,간편결제,포인트 사용 합계,고객사 청구 금액,제휴점 정산 금액,제휴점 수수료 금액,거래액,배송비,고객사 시/도,고객사 시/군/구,고객사 동/면,제휴점 시/도,제휴점 시/군/구,제휴점 동/면
2020-01-01,50B28872-5C7E-07B2-0CB8-A02D79377016,현대케미칼(x),HD현대,,,,방문 제휴식당,,,67,29,96,0,0,96,78,28,713800,713800,원,0,0,0,713800,713800,713484,316,713800,0,서울특별시,중구,남대문로5가,,,
2020-01-01,55B4E1E5-F8B5-15F5-BFEB-57F6887FAC08,에어부산(부산지점),금호아시아나,,,,방문/전화배달 제휴식당,,,0,5,5,0,0,5,2,5,35000,7,장,0,0,0,7,35000,35000,0,35000,0,부산광역시,강서구,대저2동,,,
2020-01-01,4DC79A87-E151-403C-852A-8F796DBFE205,더케이텍_인천캐터링,공항,,,,구내식당,,,6454,2,6454,1,1,6456,6455,308,32109000,6457,장,0,0,0,6457,32109000,32109000,0,32109000,0,인천광역시,중구,운서동,,,
2020-01-01,88D2A729-9555-49EE-97A2-DA1B7099624A,임피리얼팰리스서울,미설정(기본그룹),,,,구내식당,,,8690,0,8690,0,0,8690,8690,428,8690,8690,장,0,0,0,8690,41712000,41712000,0,41712000,0,서울특별시,강남구,논현동,,,
2020-01-01,05F6B78A-971B-415F-8247-B2257A156397,에이큐주식회사,미설정(기본그룹),,,,구내식당,,,208,0,208,0,0,208,208,17,938080,208,장,0,0,0,208,938080,938080,0,938080,0,서울특별시,강서구,마곡동,,,
2020-01-01,817FDA5C-E35F-41DD-9F09-ECA55FB0F891,신세계 레스케이프 호텔,신세계,,,,방문 제휴식당,,,2350,2,2322,0,30,2352,2351,215,2441,2441,원,0,0,0,2441,2441,2441,0,2441,0,서울특별시,중구,회현동1가,,,
2020-01-01,544C8DDE-F12B-72DE-1AF5-71373D0A0298,IMC게임즈,미설정(기본그룹),,,,방문 제휴식당,,,829,2248,3072,3,2,3077,1471,162,22744400,21025100,원,1719300,0,0,22744400,21025100,22412098,332302,22744400,0,서울특별시,강남구,삼성동,,,
2020-01-01,74F37CCF-22B4-E7A3-49B5-8B4299C963EE,일진글로벌,일진글로벌,,,,방문 제휴식당,,,2154,5498,7644,7,1,7652,3598,369,49438900,49350500,원,88400,0,0,49438900,49350500,49047042,391858,49438900,0,서울특별시,강남구,삼성동,,,
2020-01-01,06527371-DF31-0FC4-0B93-55C06BCDEF70,아트라스BX,미설정(기본그룹),,,,방문 제휴식당,,,504,758,1261,1,0,1262,732,94,8848830,8827630,원,21200,0,0,8848830,8827630,8614118,234712,8848830,0,서울특별시,강남구,역삼동,,,
2020-01-01,FEC9F030-6BA1-462A-9E39-B5CF4DECDF79,아이아라,미설정(기본그룹),,,,방문/전화배달 제휴식당,,,30,67,97,0,0,97,47,19,798900,791400,원,7500,0,0,798900,791400,781008,17892,798900,0,서울특별시,강남구,논현동,,,
2020-01-01,7D854F3A-9299-07CA-7661-144FC2CD40AE,씨제이이엔엠(홍대),CJ,,,,방문 제휴식당,,,912,131,1043,0,0,1043,955,41,8797600,8797600,원,0,0,0,8797600,8797600,8617503,180097,8797600,0,서울특별시,마포구,서교동,,,
2020-01-01,B9FFB609-63EF-7859-1948-F3D91EED2B1A,지멘스인더스트리소프트웨어(x),미설정(기본그룹),,,,방문 제휴식당,,,367,2097,2456,2,6,2464,1026,213,23565160,23565160,원,0,0,0,23565160,23565160,23205744,359416,23565160,0,서울특별시,강남구,도곡동,,,
2020-01-01,A5C29675-467F-4310-BB87-3A8755F5788C,한국수출입은행,미설정(기본그룹),,,,POS(KFC),,,6,0,6,0,0,6,6,5,57300,57300,원,0,0,0,57300,57300,55407,1893,57300,0,서울특별시,영등포구,여의도동,,,
2020-01-01,05F6B78A-971B-415F-8247-B2257A156397,에이큐주식회사,미설정(기본그룹),,,,방문/전화배달 제휴식당,,,22,4,26,0,0,26,24,20,242500,58,장,0,0,0,58,242500,242500,0,242500,0,서울특별시,강서구,마곡동,,,
2020-01-01,79ADEE98-A59D-436B-8313-7EAD1BF8DF78,스카이월드와이드,그래프주식회사,,,,방문 제휴식당,,,382,330,712,0,0,712,504,43,4889100,4868400,원,20700,0,0,4889100,4868400,4846389,42711,4889100,0,서울특별시,강남구,대치동,,,
